rho,X1,X08,X06,X04,X02,X00001
0.4007,8.2071,9.0962,12.7081,21.4344,40.2138,80.1933
0.4104,10.0394,10.9478,14.6382,23.5543,42.7423,83.5915
0.4202,11.9281,12.8559,16.6247,25.7303,45.3261,87.0434
0.4299,13.8727,14.8197,18.6669,27.9616,47.9644,90.5483
0.4397,15.8723,16.8386,20.7639,30.2474,50.6565,94.1055
0.4494,17.9262,18.9116,22.915,32.587,53.4018,97.7143
0.4592,20.0336,21.0382,25.1194,34.9797,56.1994,101.3741
0.4689,22.1939,23.2177,27.3766,37.4248,59.0488,105.0843
0.4787,24.4064,25.4493,29.6859,39.9216,61.9494,108.8443
0.4884,26.6704,27.7323,32.0465,42.4695,64.9004,112.6534
0.4982,28.9853,30.0663,34.4579,45.0679,67.9013,116.5112
0.5079,31.3505,32.4505,36.9194,47.7162,70.9514,120.417
0.5176,33.7654,34.8844,39.4305,50.4138,74.0504,124.3703
0.5274,36.2294,37.3674,41.9905,53.1601,77.1974,128.3707
0.5371,38.7419,39.8989,44.599,55.9545,80.3922,132.4175
0.5469,41.3025,42.4784,47.2554,58.7966,83.634,136.5103
0.5566,43.9106,45.1053,49.9591,61.6859,86.9224,140.6486
0.5664,46.5656,47.7792,52.7097,64.6217,90.257,144.832
0.5761,49.2671,50.4996,55.5066,67.6037,93.6372,149.0599
0.5859,52.0145,53.2658,58.3494,70.6313,97.0625,153.332
0.5956,54.8075,56.0776,61.2376,73.7041,100.5326,157.6478
0.6054,57.6455,58.9344,64.1707,76.8216,104.0469,162.0069
0.6151,60.5281,61.8358,67.1483,79.9833,107.605,166.4088
0.6249,63.4548,64.7812,70.1699,83.1889,111.2065,170.8532
0.6346,66.4253,67.7704,73.2351,86.438,114.851,175.3397
0.6444,69.439,70.8029,76.3436,89.73,118.5381,179.8679
0.6541,72.4957,73.8782,79.4948,93.0646,122.2674,184.4373
0.6639,75.5948,76.9961,82.6885,96.4415,126.0385,189.0478
0.6736,78.7361,80.156,85.9241,99.8601,129.8511,193.6988
0.6834,81.9191,83.3576,89.2014,103.3203,133.7046,198.39
0.6931,85.1434,86.6005,92.52,106.8215,137.5989,203.1211
0.7029,88.4087,89.8844,95.8794,110.3634,141.5336,207.8918
0.7126,91.7147,93.2089,99.2794,113.9457,145.5082,212.7017
0.7224,95.0609,96.5737,102.7196,117.568,149.5225,217.5505
0.7321,98.4471,99.9784,106.1996,121.23,153.5761,222.4379
0.7418,101.8729,103.4227,109.7192,124.9314,157.6688,227.3635
0.7516,105.3379,106.9063,113.2779,128.6718,161.8001,232.3271
0.7613,108.8419,110.4288,116.8756,132.4509,165.9699,237.3284
0.7711,112.3846,113.99,120.5118,136.2685,170.1777,242.3671
0.7808,115.9656,117.5895,124.1862,140.1242,174.4233,247.4429
0.7906,119.5847,121.2269,127.8987,144.0176,178.7064,252.5554
0.8003,123.2415,124.9022,131.6488,147.9487,183.0268,257.7046
0.8101,126.9357,128.6148,135.4363,151.9169,187.384,262.8899
0.8198,130.6671,132.3647,139.2608,155.9221,191.7779,268.1113
0.8296,134.4355,136.1514,143.1222,159.964,196.2082,273.3685
0.8393,138.2404,139.9747,147.0202,164.0423,200.6746,278.6611
0.8491,142.0817,143.8343,150.9544,168.1567,205.1768,283.989
0.8588,145.959,147.73,154.9247,172.307,209.7147,289.3518
0.8686,149.8722,151.6615,158.9307,176.493,214.2878,294.7494
0.8783,153.821,155.6286,162.9722,180.7143,218.8961,300.1815
0.8881,157.8051,159.631,167.049,184.9708,223.5393,305.6479
0.8978,161.8243,163.6685,171.1607,189.2621,228.2171,311.1483
0.9076,165.8783,167.7408,175.3073,193.5881,232.9292,316.6826
0.9173,169.9669,171.8477,179.4884,197.9485,237.6755,322.2505
0.9271,174.0899,175.9889,183.7038,202.3431,242.4558,327.8517
0.9368,178.247,180.1643,187.9533,206.7717,247.2697,333.4861
0.9466,182.438,184.3735,192.2366,211.234,252.1172,339.1534
0.9563,186.6627,188.6165,196.5536,215.7298,256.9979,344.8535
0.9661,190.9209,192.8929,200.904,220.2589,261.9117,350.5862
0.9758,195.2124,197.2026,205.2876,224.8211,266.8583,356.3512
0.9855,199.5369,201.5453,209.7042,229.4162,271.8375,362.1483
0.9953,203.8943,205.9208,214.1536,234.044,276.8492,367.9773
1.005,208.2842,210.3289,218.6355,238.7043,281.8932,373.8381
1.0148,212.7067,214.7695,223.1498,243.3968,286.9692,379.7305
1.0245,217.1613,219.2423,227.6964,248.1214,292.0771,385.6543
1.0343,221.6481,223.7472,232.2749,252.8779,297.2166,391.6092
1.044,226.1666,228.2839,236.8852,257.6661,302.3876,397.5952
1.0538,230.7168,232.8522,241.5271,262.4858,307.5899,403.6119
1.0635,235.2986,237.452,246.2005,267.3368,312.8233,409.6594
1.0733,239.9116,242.0831,250.9051,272.219,318.0876,415.7373
1.083,244.5557,246.7453,255.6407,277.1321,323.3827,421.8455
1.0928,249.2307,251.4384,260.4072,282.0761,328.7084,427.9839
1.1025,253.9365,256.1623,265.2045,287.0506,334.0644,434.1523
1.1123,258.6729,260.9167,270.0323,292.0556,339.4508,440.3504
1.122,263.4397,265.7016,274.8904,297.0908,344.8672,446.5782
1.1318,268.2367,270.5166,279.7788,302.1562,350.3135,452.8355
1.1415,273.0639,275.3618,284.6972,307.2515,355.7895,459.1221
1.1513,277.9209,280.2369,289.6454,312.3766,361.2952,465.438
1.161,282.8077,285.1417,294.6234,317.5313,366.8302,471.7828
1.1708,287.7241,290.076,299.6309,322.7155,372.3946,478.1565
1.1805,292.6699,295.0399,304.6678,327.9289,377.988,484.5589
1.1903,297.645,300.0329,309.7339,333.1716,383.6105,490.9899
1.2,302.6493,305.0552,314.8291,338.4432,389.2617,497.4493
